Tiramisu aux fraises,"Ingrédients : fraise,citron jaune,oeuf,mascarpone,sucre,biscuit à la cuillère.Verser le restant du 'coulis' par dessus. Mettre au frais.Arroser les fraises du jus de citron et de 30 g de sucre. Ecraser les fraises...",20 min,false,facile
'The' tarte aux fraises,"Ingrédients : farine,beurre,sucre,jaune d'oeuf,eau,sel,lait,oeuf,farine,sucre,sucre vanillé,fraise (ou plus ;).Verser au milieu de ce ""sable"" le mélange liquide. ...",35 min,false,très facile
Charlotte aux fraises,"Ingrédients : fraise (gariguettes),boudoir,Gervita (= fromage blanc + crème fouettée),sucre,Alcool de fruits ou Grand Marnier (pour ceux qui préfèrent la version alcoolisée).Mettre au frigidaire. Servir...",15 min,false,très facile
"""The"" charlotte aux fraises","Ingrédients : sucre en poudre,Alcool de fraise,gélatine,fraise,citron,crème liquide,sucre vanillé,biscuit à la cuillère,glaçons.Couper les 8 fraises mises de côté dans leur hauteur....",1 h,false,difficile
Compote fraise-rhubarbe au Blender,"Ingrédients : rhubarbe,fraise,jus d'orange,citronnelle,sucre en poudre,extrait de vanille.Ajoutez la quantité de compote réservée, mélangez manuellement et placez au réfrigérateur...",15 min,false,très facile
